,Player,Season,PA,AB,AVG,HardHit%,Barrel%,EV,K%,Contact%,O-Swing%,Z-Swing%,SwStr%
132,Jimmy Rollins,2015,563,517,0.224,0.231,0.025,85.8,0.153,0.835,0.256,0.674,0.07400000000000001
93,Evan Gattis,2015,604,566,0.246,0.392,0.055,88.9,0.19699999999999998,0.77,0.369,0.7040000000000001,0.11599999999999999
100,Joe Mauer,2015,666,592,0.265,0.39899999999999997,0.033,89.5,0.168,0.846,0.271,0.574,0.062
104,Jay Bruce,2015,649,580,0.226,0.374,0.079,89.7,0.223,0.769,0.318,0.752,0.11
110,Melky Cabrera,2015,683,629,0.273,0.36,0.022000000000000002,89.6,0.129,0.8809999999999999,0.34,0.635,0.055999999999999994
135,Alexei Ramirez,2015,622,583,0.249,0.222,0.01,84.7,0.109,0.855,0.325,0.674,0.07
138,Jean Segura,2015,584,560,0.257,0.265,0.008,86.9,0.159,0.845,0.385,0.6990000000000001,0.08199999999999999
122,Logan Morrison,2015,511,457,0.225,0.375,0.061,89.9,0.159,0.82,0.3,0.7140000000000001,0.086
136,Michael A. Taylor,2015,511,472,0.229,0.35600000000000004,0.063,88.7,0.309,0.688,0.33299999999999996,0.745,0.16
108,Ryan Howard,2015,503,467,0.229,0.45,0.111,91.3,0.27399999999999997,0.6970000000000001,0.384,0.778,0.166
134,Angel Pagan,2015,551,512,0.262,0.22399999999999998,0.005,86.2,0.16899999999999998,0.893,0.25,0.62,0.044000000000000004
123,Avisail Garcia,2015,601,553,0.257,0.375,0.043,88.5,0.235,0.705,0.452,0.789,0.17300000000000001
139,Wilson Ramos,2015,504,475,0.229,0.445,0.057999999999999996,90.5,0.2,0.775,0.364,0.7440000000000001,0.121
97,Billy Butler,2015,601,538,0.251,0.401,0.07,89.4,0.168,0.8240000000000001,0.295,0.631,0.079
140,Chris Owings,2015,552,515,0.227,0.249,0.026000000000000002,86.9,0.261,0.7609999999999999,0.376,0.7090000000000001,0.127
128,Pablo Sandoval,2015,505,470,0.245,0.33299999999999996,0.045,88.0,0.145,0.8270000000000001,0.478,0.752,0.102
1,Mike Trout,2016,681,549,0.315,0.4,0.134,90.9,0.201,0.8140000000000001,0.23,0.603,0.071
16,Mookie Betts,2016,730,672,0.318,0.397,0.047,89.7,0.11,0.873,0.255,0.584,0.052000000000000005
7,Kris Bryant,2016,699,603,0.292,0.389,0.11699999999999999,89.3,0.22,0.733,0.308,0.742,0.13
4,Josh Donaldson,2016,700,577,0.284,0.49,0.11199999999999999,92.2,0.17,0.767,0.24600000000000002,0.664,0.09699999999999999
24,Robinson Cano,2016,715,655,0.298,0.43,0.066,90.2,0.14,0.838,0.373,0.7140000000000001,0.08199999999999999
11,Jose Altuve,2016,717,640,0.338,0.36200000000000004,0.062,88.3,0.098,0.861,0.327,0.7120000000000001,0.067
25,Brian Dozier,2016,691,615,0.268,0.36200000000000004,0.081,88.1,0.2,0.79,0.29100000000000004,0.639,0.091
62,Adam Eaton,2016,706,619,0.284,0.35600000000000004,0.027000000000000003,89.0,0.163,0.846,0.311,0.665,0.07200000000000001
5,Freddie Freeman,2016,693,589,0.302,0.447,0.13,91.3,0.247,0.725,0.324,0.807,0.141
70,Buster Posey,2016,614,539,0.288,0.43,0.065,90.5,0.111,0.87,0.293,0.6809999999999999,0.061
31,Manny Machado,2016,696,640,0.294,0.43200000000000005,0.09,90.3,0.172,0.797,0.32299999999999995,0.723,0.1
23,Jean Segura,2016,694,637,0.319,0.33799999999999997,0.055,89.0,0.146,0.848,0.311,0.64,0.07
32,Kyle Seager,2016,676,597,0.278,0.413,0.084,90.4,0.16,0.826,0.26899999999999996,0.621,0.073
12,Nolan Arenado,2016,696,618,0.294,0.396,0.08199999999999999,89.5,0.14800000000000002,0.823,0.341,0.6859999999999999,0.085
40,Ian Kinsler,2016,679,618,0.288,0.308,0.036000000000000004,87.2,0.16899999999999998,0.852,0.273,0.6409999999999999,0.066
28,Christian Yelich,2016,659,578,0.298,0.499,0.092,92.6,0.209,0.773,0.22899999999999998,0.643,0.092
22,Adrian Beltre,2016,640,583,0.3,0.4,0.079,90.1,0.10300000000000001,0.855,0.364,0.66,0.071
44,Jackie Bradley Jr.,2016,636,558,0.267,0.39799999999999996,0.079,90.3,0.225,0.759,0.29,0.653,0.10800000000000001
42,Jose Ramirez,2016,618,565,0.312,0.32899999999999996,0.026000000000000002,88.4,0.1,0.888,0.27699999999999997,0.64,0.049
71,Francisco Lindor,2016,684,604,0.301,0.331,0.039,88.7,0.129,0.836,0.303,0.6970000000000001,0.077
6,Miguel Cabrera,2016,679,595,0.316,0.5,0.149,93.6,0.171,0.7909999999999999,0.32899999999999996,0.7290000000000001,0.102
21,Corey Seager,2016,687,627,0.308,0.43799999999999994,0.077,91.1,0.19399999999999998,0.7859999999999999,0.322,0.79,0.113
3,Daniel Murphy,2016,582,531,0.347,0.413,0.083,90.7,0.098,0.888,0.33399999999999996,0.648,0.051
10,Anthony Rizzo,2016,676,583,0.292,0.364,0.08800000000000001,89.1,0.16,0.82,0.322,0.642,0.081
2,Joey Votto,2016,677,556,0.326,0.39,0.083,89.6,0.177,0.8290000000000001,0.20800000000000002,0.6859999999999999,0.071
9,DJ LeMahieu,2016,635,552,0.348,0.47700000000000004,0.040999999999999995,91.8,0.126,0.902,0.239,0.609,0.040999999999999995
15,Paul Goldschmidt,2016,705,579,0.297,0.425,0.071,91.0,0.213,0.794,0.23,0.607,0.079
105,Ender Inciarte,2016,578,522,0.291,0.15,0.006999999999999999,85.5,0.11800000000000001,0.903,0.32799999999999996,0.631,0.044000000000000004
33,Jonathan Lucroy,2016,544,490,0.292,0.348,0.069,87.6,0.184,0.818,0.3,0.5770000000000001,0.078
46,George Springer,2016,744,644,0.261,0.379,0.10099999999999999,89.4,0.239,0.7390000000000001,0.272,0.741,0.12300000000000001
0,David Ortiz,2016,626,537,0.315,0.47600000000000003,0.135,93.2,0.13699999999999998,0.823,0.29100000000000004,0.6990000000000001,0.077
14,Nelson Cruz,2016,667,589,0.287,0.526,0.158,94.6,0.23800000000000002,0.722,0.305,0.7070000000000001,0.132
45,Justin Turner,2016,622,556,0.275,0.409,0.081,90.5,0.172,0.84,0.244,0.66,0.071
95,Brandon Crawford,2016,623,553,0.275,0.345,0.04,88.9,0.185,0.745,0.308,0.7859999999999999,0.129
8,Charlie Blackmon,2016,641,578,0.324,0.335,0.062,87.7,0.159,0.847,0.34,0.638,0.07200000000000001
50,Evan Longoria,2016,685,633,0.273,0.41700000000000004,0.115,90.8,0.21,0.754,0.337,0.672,0.11900000000000001
30,Dexter Fowler,2016,551,456,0.276,0.326,0.053,88.1,0.225,0.794,0.19399999999999998,0.647,0.08
52,Carlos Correa,2016,660,577,0.274,0.431,0.075,91.0,0.21100000000000002,0.769,0.294,0.6509999999999999,0.10300000000000001
56,Jason Kipnis,2016,688,610,0.275,0.395,0.061,89.9,0.212,0.8190000000000001,0.275,0.62,0.078
54,Xander Bogaerts,2016,719,652,0.294,0.335,0.051,89.0,0.171,0.8170000000000001,0.33799999999999997,0.591,0.083
80,Ian Desmond,2016,677,625,0.285,0.434,0.073,90.7,0.23600000000000002,0.737,0.308,0.64,0.122
77,Odubel Herrera,2016,656,583,0.286,0.309,0.04,87.7,0.204,0.78,0.34600000000000003,0.6829999999999999,0.106
18,Matt Carpenter,2016,566,473,0.271,0.42200000000000004,0.105,90.7,0.191,0.826,0.226,0.588,0.067
19,Brandon Belt,2016,655,542,0.275,0.327,0.10800000000000001,87.3,0.226,0.762,0.255,0.789,0.11199999999999999
47,Jake Lamb,2016,594,523,0.249,0.43200000000000005,0.113,91.3,0.259,0.727,0.278,0.653,0.11900000000000001
48,Starling Marte,2016,529,489,0.311,0.368,0.052000000000000005,87.5,0.19699999999999998,0.763,0.392,0.74,0.127
34,Wilson Ramos,2016,523,482,0.307,0.43,0.066,90.8,0.151,0.8190000000000001,0.302,0.732,0.09
39,Dustin Pedroia,2016,698,633,0.318,0.289,0.02,88.6,0.105,0.888,0.26,0.609,0.048
68,Yadier Molina,2016,581,534,0.307,0.27699999999999997,0.027000000000000003,87.7,0.10800000000000001,0.867,0.36,0.727,0.071
111,Addison Russell,2016,598,525,0.238,0.311,0.08800000000000001,87.6,0.226,0.738,0.315,0.728,0.131
20,Edwin Encarnacion,2016,702,601,0.263,0.41100000000000003,0.11199999999999999,90.8,0.19699999999999998,0.779,0.23800000000000002,0.672,0.094
58,Asdrubal Cabrera,2016,568,521,0.28,0.331,0.048,88.9,0.18100000000000002,0.7909999999999999,0.32799999999999996,0.7340000000000001,0.105
65,Anthony Rendon,2016,647,567,0.27,0.41700000000000004,0.055,91.0,0.18100000000000002,0.8490000000000001,0.228,0.648,0.064
72,Kole Calhoun,2016,672,594,0.271,0.39899999999999997,0.052000000000000005,89.7,0.17600000000000002,0.763,0.307,0.748,0.11699999999999999
82,Cesar Hernandez,2016,622,547,0.294,0.29,0.018000000000000002,87.0,0.18600000000000003,0.82,0.243,0.68,0.08
104,Jonathan Schoop,2016,647,615,0.267,0.353,0.062,87.4,0.212,0.731,0.43,0.8140000000000001,0.162
102,Russell Martin,2016,535,455,0.231,0.39899999999999997,0.08900000000000001,89.2,0.27699999999999997,0.722,0.214,0.591,0.10800000000000001
17,Ryan Braun,2016,564,511,0.305,0.389,0.08199999999999999,90.0,0.174,0.8059999999999999,0.36200000000000004,0.7440000000000001,0.099
27,Yoenis Cespedes,2016,543,479,0.28,0.47700000000000004,0.095,91.7,0.19899999999999998,0.7829999999999999,0.345,0.6579999999999999,0.102
78,Rougned Odor,2016,632,605,0.271,0.37799999999999995,0.07400000000000001,89.6,0.214,0.779,0.418,0.713,0.12
69,Wil Myers,2016,676,599,0.259,0.392,0.07,88.6,0.237,0.8029999999999999,0.262,0.603,0.08
136,Leonys Martin,2016,576,518,0.247,0.313,0.05,87.6,0.259,0.72,0.32899999999999996,0.688,0.138
36,Ben Zobrist,2016,631,523,0.272,0.354,0.04,89.1,0.13,0.883,0.205,0.561,0.040999999999999995
26,Carlos Santana,2016,688,582,0.259,0.428,0.09,90.8,0.14400000000000002,0.8170000000000001,0.198,0.64,0.07200000000000001
61,Elvis Andrus,2016,568,506,0.302,0.318,0.018000000000000002,87.4,0.12300000000000001,0.85,0.26899999999999996,0.614,0.064
75,Curtis Granderson,2016,633,545,0.237,0.32899999999999996,0.064,87.8,0.205,0.797,0.209,0.581,0.07400000000000001
99,Todd Frazier,2016,666,590,0.225,0.354,0.09699999999999999,89.1,0.245,0.733,0.326,0.6559999999999999,0.125
41,Jonathan Villar,2016,679,589,0.285,0.382,0.05,90.3,0.256,0.752,0.24100000000000002,0.662,0.106
29,Hanley Ramirez,2016,620,549,0.286,0.423,0.083,90.6,0.19399999999999998,0.778,0.304,0.6809999999999999,0.10300000000000001
79,Logan Forsythe,2016,567,511,0.264,0.389,0.067,90.0,0.22399999999999998,0.794,0.221,0.5870000000000001,0.08199999999999999
81,Martin Prado,2016,658,600,0.305,0.308,0.011000000000000001,87.8,0.105,0.9079999999999999,0.273,0.535,0.036000000000000004
51,Khris Davis,2016,610,555,0.247,0.48200000000000004,0.165,92.0,0.272,0.682,0.313,0.767,0.166
63,Bryce Harper,2016,627,506,0.243,0.358,0.073,88.9,0.187,0.792,0.27,0.6809999999999999,0.086
88,Gregory Polanco,2016,587,527,0.258,0.39799999999999996,0.057999999999999996,89.9,0.203,0.813,0.31,0.701,0.085
110,Brett Gardner,2016,634,547,0.261,0.24,0.022000000000000002,86.5,0.16699999999999998,0.858,0.24,0.541,0.052000000000000005
129,Jordy Mercer,2016,584,519,0.256,0.261,0.02,86.9,0.142,0.8590000000000001,0.278,0.618,0.061
87,Adam Duvall,2016,608,552,0.241,0.41100000000000003,0.113,88.5,0.27,0.748,0.341,0.6970000000000001,0.125
